,leq_mean,leq_var,leq_std,leq_max,leq_10,leq_25,leq_median,leq_75,leq_90,leq_10_90,loudness_mean,loudness_var,loudness_std,loudness_max,loudness_10,loudness_25,loudness_median,loudness_75,loudness_90,loudness_10_90,roughness_mean,roughness_var,roughness_std,roughness_max,roughness_10,roughness_25,roughness_median,roughness_75,roughness_90,roughness_10_90,sharpness_mean,sharpness_var,sharpness_std,sharpness_max,sharpness_10,sharpness_25,sharpness_median,sharpness_75,sharpness_90,sharpness_10_90,fluct_mean,fluct_var,fluct_std,fluct_max,fluct_10,fluct_25,fluct_median,fluct_75,fluct_90,fluct_10_90,tonality_mean,tonality_var,tonality_std,tonality_max,tonality_10,tonality_25,tonality_median,tonality_75,tonality_90,tonality_10_90,声音类别
20,36.7152,0.2851,0.53407,37.74073,35.82126,36.3658,36.86508,37.12922,37.28047,1.45921,1.74642,0.02352,0.15365,2.176,1.523,1.629,1.743,1.86,1.9445,0.4215,0.07575,0.00013,0.01134,0.10122,0.06163,0.06976,0.07652,0.08241,0.08857,0.02693,3.2877,0.04426,0.21077,3.72917,2.99985,3.09407,3.33103,3.45466,3.54273,0.54289,0.00565,0.0001,0.01002,0.03624,0.00046,0.00071,0.00093,0.00282,0.02548,0.02502,0.0318,0.00121,0.03483,0.21083,0,0,0.02188,0.05285,0.07793,0.07793,21
21,38.25892,15.16616,3.89528,52.10483,34.78612,35.83169,36.94922,38.9832,45.09882,10.31271,2.03538,0.69767,0.83683,6.668,1.4425,1.59,1.799,2.0795,2.832,1.3895,0.31026,0.09278,0.3046,1.39355,0.07198,0.12686,0.19509,0.3361,0.85701,0.78503,1.63465,0.03673,0.192,2.22976,1.41721,1.49172,1.6129,1.75977,1.90459,0.48738,0.02492,0.00049,0.02211,0.09294,0.00453,0.00921,0.01699,0.0329,0.05593,0.05141,0.04765,0.00269,0.05198,0.2739,0,0,0.03391,0.07398,0.10831,0.10831,22
22,55.29689,14.05797,3.75027,67.31584,51.10166,52.90165,54.12893,57.78325,59.98623,8.88457,7.6356,3.48544,1.87043,16.75,5.7825,6.4585,7.2375,8.376,9.58,3.7975,1.45031,0.03913,0.19781,2.36313,1.23469,1.3214,1.45183,1.5556,1.645,0.41031,1.86931,0.08552,0.29298,3.4786,1.66614,1.72481,1.78924,1.90138,2.10117,0.43503,0.02102,0.00033,0.01825,0.07596,0.00594,0.00882,0.01297,0.03042,0.0502,0.04426,0.06973,0.00347,0.05903,0.30094,0,0.0253,0.06188,0.09634,0.14284,0.14284,23
23,60.27035,6.24914,2.50041,65.40749,56.41784,58.27418,60.78688,61.87395,63.47717,7.05932,10.93338,3.56592,1.8919,19.21,8.716,9.366,10.75,12.017,13.3825,4.6665,1.50033,0.07743,0.27827,2.99725,1.1945,1.39266,1.48395,1.61412,1.7008,0.5063,1.97584,0.04617,0.21527,3.31171,1.72347,1.87794,1.97203,2.07136,2.17726,0.45378,0.02102,0.00031,0.01769,0.07741,0.0095,0.01124,0.01545,0.01957,0.05552,0.04602,0.1841,0.00748,0.08666,0.47082,0.07628,0.11855,0.18333,0.2342,0.30314,0.22686,24
24,48.55713,1.0435,1.02176,51.60942,47.20836,47.8618,48.43202,49.23096,50.07383,2.86547,5.44583,0.11634,0.34172,6.401,5.0155,5.202,5.4245,5.649,5.8975,0.882,1.14812,0.01169,0.10815,1.32975,1.08953,1.11701,1.15429,1.19458,1.22993,0.1404,2.11182,0.01,0.10021,2.56989,1.99655,2.04174,2.09908,2.17027,2.24739,0.25084,0.01075,0.00021,0.01465,0.05757,0.00309,0.00324,0.0043,0.00651,0.03955,0.03646,0.07189,0.00334,0.05793,0.25676,0,0.02861,0.0643,0.10415,0.15586,0.15586,25
25,62.7588,17.80426,4.22083,72.84445,58.78803,59.5299,61.19201,65.43208,70.36254,11.57451,14.32571,15.17283,3.91505,23.7,10.8025,11.434,12.498,16.385,21.615,10.8125,0.3757,0.444,0.66636,2.06546,0,0,0.00008,0.33551,1.77536,1.77536,2.0834,0.01528,0.12425,2.47391,1.95944,2.00903,2.05987,2.13705,2.24394,0.2845,0.01484,0.00035,0.0188,0.07641,0.00408,0.00509,0.00577,0.01391,0.05123,0.04715,0.0025,0.00008,0.0092,0.05141,0,0,0,0,0,0,26
26,41.30858,0.42877,0.65496,44.17707,40.62431,40.81572,41.16741,41.67184,42.17891,1.5546,2.76447,0.08807,0.29732,4.481,2.4815,2.569,2.6855,2.8785,3.1935,0.712,0.746,0.01116,0.10563,1.08824,0.67363,0.70018,0.73843,0.78674,0.84372,0.17009,1.56511,0.03316,0.18243,2.53213,1.40743,1.45581,1.51657,1.62948,1.75173,0.34429,0.00857,0.00014,0.01194,0.04711,0.00209,0.00242,0.00362,0.00552,0.03188,0.02979,0.03149,0.00139,0.03734,0.21864,0,0,0.02383,0.05317,0.07934,0.07934,27
27,45.73914,0.45455,0.67436,49.12092,44.84949,45.2322,45.73479,46.17322,46.56108,1.71159,3.91498,0.08187,0.28667,6.252,3.616,3.731,3.8885,4.0305,4.246,0.63,1.03137,0.01833,0.13539,1.86104,0.96623,0.99004,1.03033,1.05804,1.08235,0.11613,1.49752,0.0096,0.09817,1.8399,1.3945,1.43004,1.47654,1.54069,1.63125,0.23674,0.01066,0.00022,0.01492,0.05973,0.0021,0.00336,0.00422,0.00747,0.03952,0.03742,0.03302,0.00143,0.0379,0.18673,0,0,0.02145,0.05456,0.08902,0.08902,28
28,45.17071,0.98684,0.99363,48.92629,43.7241,44.63725,45.08514,45.72763,46.51182,2.78773,3.85034,0.25029,0.50123,6.165,3.359,3.5025,3.7245,4.066,4.554,1.195,0.9975,0.01155,0.10749,1.19409,0.9315,0.96563,0.9983,1.0407,1.0957,0.1642,1.55648,0.03246,0.1805,2.37499,1.41805,1.44632,1.50139,1.5856,1.76056,0.34251,0.01284,0.00021,0.01434,0.05803,0.00299,0.00383,0.00543,0.01833,0.03742,0.03443,0.04199,0.00193,0.044,0.22831,0,0,0.03551,0.06593,0.10402,0.10402,29
29,40.75477,12.17268,3.48975,49.53105,35.81883,38.30993,41.00636,43.28707,44.99789,9.17906,2.76974,1.07355,1.03806,7.951,1.613,2.0385,2.584,3.2675,4.326,2.713,0.54554,0.15217,0.3901,1.91623,0.0344,0.23278,0.4874,0.80681,1.06679,1.0324,1.67716,0.07247,0.2697,2.7385,1.38447,1.49029,1.62961,1.86234,2.0384,0.65393,0.01514,0.00016,0.01249,0.04537,0.00334,0.00578,0.01052,0.02373,0.03622,0.03288,0.1518,0.00921,0.09614,0.5216,0.03756,0.0806,0.13752,0.20656,0.27811,0.24055,30
