,leq_mean,leq_var,leq_std,leq_max,leq_10,leq_25,leq_median,leq_75,leq_90,leq_10_90,loudness_mean,loudness_var,loudness_std,loudness_max,loudness_10,loudness_25,loudness_median,loudness_75,loudness_90,loudness_10_90,roughness_mean,roughness_var,roughness_std,roughness_max,roughness_10,roughness_25,roughness_median,roughness_75,roughness_90,roughness_10_90,sharpness_mean,sharpness_var,sharpness_std,sharpness_max,sharpness_10,sharpness_25,sharpness_median,sharpness_75,sharpness_90,sharpness_10_90,fluct_mean,fluct_var,fluct_std,fluct_max,fluct_10,fluct_25,fluct_median,fluct_75,fluct_90,fluct_10_90,tonality_mean,tonality_var,tonality_std,tonality_max,tonality_10,tonality_25,tonality_median,tonality_75,tonality_90,tonality_10_90,声音类别
22,55.39697,12.9341,3.59724,67.43602,51.94854,52.874,54.02106,57.30643,60.84521,8.89667,7.748,3.58062,1.89578,19.35,6.0635,6.635,7.261,8.32,9.5455,3.482,1.48459,0.01997,0.14133,2.15158,1.311,1.38744,1.46627,1.57381,1.6545,0.3435,1.83221,0.04339,0.20869,3.21573,1.65991,1.72546,1.78683,1.88181,2.01795,0.35804,0.02069,0.0003,0.01745,0.07035,0.00758,0.00873,0.0112,0.03104,0.04804,0.04046,0.05943,0.00464,0.06826,0.50243,0,0.01856,0.04504,0.07481,0.12635,0.12635,23
23,56.29216,21.85353,4.67586,68.53908,52.12456,53.04338,54.3628,59.38217,64.36489,12.24032,9.11769,6.84416,2.62101,17.99,6.848,7.379,8.145,9.934,13.3995,6.5515,1.47168,0.05364,0.23161,2.10531,1.27018,1.32018,1.38174,1.56123,1.86236,0.59218,2.18455,0.12268,0.35091,4.47965,1.92943,2.02482,2.12186,2.2485,2.3714,0.44196,0.01339,0.00004,0.0065,0.02987,0.00603,0.00668,0.01321,0.01638,0.02391,0.01788,0.12171,0.00449,0.06711,0.5185,0.04979,0.08113,0.1146,0.15779,0.2003,0.15051,24
24,48.31684,1.24178,1.11461,52.36896,47.0849,47.50179,48.06069,48.92858,49.96454,2.87964,5.46107,0.19056,0.43735,7.245,4.9845,5.165,5.412,5.668,6.011,1.0265,1.17376,0.00623,0.07895,1.73506,1.10515,1.13466,1.16468,1.1951,1.22647,0.12132,2.25522,0.0186,0.13663,3.08674,2.13221,2.17961,2.2334,2.30497,2.37225,0.24004,0.00699,0.00001,0.00312,0.01385,0.00375,0.00435,0.00603,0.00908,0.01261,0.00886,0.06258,0.00228,0.04785,0.23866,0,0.02456,0.05809,0.09633,0.12417,0.12417,25
25,63.94023,14.6484,3.82737,82.20861,59.7953,61.16055,63.15101,65.9575,69.25828,9.46299,15.61332,18.41205,4.29186,46.68,11.616,12.6775,14.407,17.22,21.17,9.554,0.25808,0.17236,0.41517,2.21627,0,0.00048,0.05267,0.34118,0.91681,0.91681,2.25348,0.07059,0.26575,3.9483,2.0025,2.08659,2.1995,2.33162,2.56307,0.56057,0.02399,0.00205,0.04524,0.38466,0.00431,0.0065,0.01061,0.01992,0.04472,0.0404,0.00611,0.00053,0.02299,0.44135,0,0,0,0,0.02304,0.02304,26
26,42.48348,1.12992,1.06323,46.9887,41.56973,41.84188,42.16609,42.71784,44.00619,2.43645,2.98368,0.13026,0.36159,4.863,2.6755,2.75,2.882,3.084,3.4005,0.725,0.84296,0.02152,0.14671,1.78266,0.74316,0.77489,0.81249,0.85573,0.92496,0.1818,1.51419,0.02728,0.16547,2.65279,1.38034,1.42451,1.46752,1.5644,1.6913,0.31096,0.00515,0.00001,0.00328,0.01561,0.00206,0.00271,0.00419,0.0066,0.01091,0.00885,0.03157,0.00147,0.03838,0.1761,0,0,0.02096,0.05398,0.08581,0.08581,27
27,46.80906,0.61304,0.78315,48.78419,45.89447,46.21348,46.67321,47.30314,48.0731,2.17863,4.2677,0.11559,0.34062,5.346,3.8505,4.02,4.241,4.486,4.7335,0.883,1.07083,0.0023,0.04791,1.19515,1.00984,1.03235,1.07084,1.1028,1.13521,0.12537,1.50965,0.00967,0.09851,1.84724,1.39866,1.43865,1.48759,1.56343,1.64858,0.24992,0.00396,0.00001,0.00232,0.01234,0.00236,0.00276,0.00339,0.00364,0.0071,0.00474,0.04495,0.0016,0.04009,0.19668,0,0,0.04132,0.07004,0.09922,0.09922,28
28,47.82005,5.70917,2.38994,53.05112,44.99011,45.7863,47.2837,50.0552,51.32722,6.3371,4.59119,0.60087,0.7766,6.526,3.6975,3.938,4.461,5.268,5.7305,2.033,1.16844,0.03064,0.17506,1.55336,0.96853,1.01708,1.10091,1.33401,1.43122,0.46269,1.52872,0.00788,0.08894,2.08992,1.42847,1.47167,1.52006,1.56319,1.62838,0.1999,0.00441,0,0.00216,0.00964,0.00249,0.00293,0.0036,0.00522,0.00872,0.00623,0.03324,0.00132,0.03645,0.16663,0,0,0.02965,0.05373,0.08662,0.08662,29
29,41.63343,14.44762,3.80188,49.52955,36.14489,38.21571,42.61588,44.79071,45.96727,9.82238,2.90745,0.94773,0.97533,5.644,1.6795,2.068,2.87,3.655,4.142,2.4625,0.55138,0.1131,0.33631,1.52222,0.05337,0.24542,0.54668,0.82165,0.94152,0.88815,1.63165,0.05271,0.23001,2.39997,1.27832,1.49329,1.64564,1.78272,1.88695,0.60864,0.01285,0.00005,0.00714,0.03595,0.00678,0.00808,0.01088,0.01373,0.02219,0.01541,0.1552,0.01017,0.10104,0.46651,0.02885,0.07493,0.14897,0.23035,0.29841,0.26956,30
30,49.59545,7.22522,2.6886,57.99804,46.47209,47.48804,48.89593,51.6459,53.36061,6.88852,4.95113,1.86095,1.36671,10.488,3.6095,3.955,4.497,5.598,6.9825,3.373,1.50077,0.19388,0.44033,3.53834,1.07223,1.19761,1.37122,1.71929,2.05922,0.98698,1.54444,0.03029,0.17436,2.1141,1.36608,1.41208,1.50124,1.6242,1.8146,0.44852,0.02359,0.00013,0.01157,0.04932,0.01068,0.01394,0.02235,0.02889,0.04358,0.0329,0.04236,0.00272,0.05221,0.25656,0,0,0.02727,0.06054,0.10986,0.10986,31
31,51.02137,4.88944,2.21172,57.3816,48.95248,49.34625,50.12123,52.52856,54.55163,5.59915,5.96966,1.26213,1.12554,9.753,4.9685,5.167,5.459,6.701,7.6505,2.682,1.35139,0.02804,0.16747,2.11434,1.1928,1.23025,1.29206,1.45082,1.54899,0.35619,1.71457,0.0347,0.18662,3.0705,1.56847,1.61464,1.68245,1.7393,1.85991,0.29144,0.01766,0.00033,0.01812,0.061,0.00452,0.00589,0.00664,0.03222,0.05083,0.04631,0.0292,0.00117,0.03433,0.1626,0,0,0.01969,0.05069,0.0779,0.0779,32
