id,file_name,place,create_time,Leq,Pctn,陶模型判定,新模型输出,抽样,
1007,Record86962,M01,2021/11/8 16:26:41,50.3891,#N/A,3,4.00912,108,8
1010,Record86965,M01,2021/11/8 16:32:42,53.5989,0.235661,3,4.6319,109,9
1011,Record86966,M01,2021/11/8 16:34:42,50.7011,0.353576,3,4.00912,110,0
1014,Record86969,M01,2021/11/8 16:40:42,50.661,0.43093,3,4.00912,111,1
1015,Record86971,M01,2021/11/8 16:44:43,51.3743,0.465877,3,4.17213,112,2
1016,Record86972,M01,2021/11/8 16:46:42,50.9522,0.534752,3,4.00912,113,3
1017,Record86973,M01,2021/11/8 16:48:41,50.8901,0.417441,3,4.00912,114,4
1018,Record86974,M01,2021/11/8 16:50:42,52.5588,0.297769,3,4.17213,115,5
1019,Record86975,M01,2021/11/8 16:52:44,51.6248,0.232656,3,4.87117,116,6
1022,Record86978,M01,2021/11/8 16:58:42,51.0978,0.195347,3,5.27134,117,7
1023,Record86979,M01,2021/11/8 17:00:42,50.278,0.205511,3,3.9052,118,8
1024,Record86980,M01,2021/11/8 17:02:41,50.9755,0.298245,3,4.87117,119,9
1025,Record86982,M01,2021/11/8 17:06:42,51.5613,0.178533,3,4.28875,120,0
1027,Record86985,M01,2021/11/8 17:12:44,50.9774,0.232834,3,4.17213,121,1
1029,Record86987,M01,2021/11/8 17:16:42,52.4892,0.26968,3,4.17213,122,2
1031,Record86989,M01,2021/11/8 17:20:43,50.4191,0.292085,3,5.27134,123,3
1032,Record86990,M01,2021/11/8 17:22:41,52.6987,0.205592,3,4.17213,124,4
1033,Record86991,M01,2021/11/8 17:24:41,52.9017,0.225342,3,2.76453,125,5
1035,Record86993,M01,2021/11/8 17:28:41,51.4695,0.360634,3,4.17213,126,6
1037,Record86996,M01,2021/11/8 17:34:41,50.7402,0.36985,3,4.00912,127,7
1039,Record86998,M01,2021/11/8 17:38:41,50.9773,0.244478,3,4.17213,128,8
1040,Record86999,M01,2021/11/8 17:40:41,54.0211,0.166795,3,4.6319,129,9
1041,Record87000,M01,2021/11/8 17:42:41,50.382,0.218002,3,4.87117,130,0
1044,Record87003,M01,2021/11/8 17:48:41,50.9394,0.18017,3,5.27134,131,1
1045,Record87004,M01,2021/11/8 17:50:41,50.1311,0.236564,3,3.9052,132,2
1057,Record87018,M01,2021/11/8 18:18:42,50.1226,0.349691,3,4.00912,133,3
1125,Record87093,M01,2021/11/8 20:48:41,50.2287,0.098991,3,4.6319,134,4
1435,Record87432,M01,2021/11/9 8:06:44,52.6113,0.491528,3,4.6319,135,5
1438,Record87436,M01,2021/11/9 8:14:43,51.2956,0.510008,3,4.6319,136,6
1439,Record87437,M01,2021/11/9 8:16:43,50.0815,0.49139,3,5.27134,137,7
1444,Record87442,M01,2021/11/9 8:26:43,53.1313,0.415797,3,4.6319,138,8
1451,Record87450,M01,2021/11/9 8:42:43,55.3449,0.377462,3,2.89344,139,9
1455,Record87454,M01,2021/11/9 8:50:43,54.4705,0.383658,3,2.89344,140,0
1511,Record87513,M01,2021/11/9 10:48:44,51.0746,0.131278,3,4.6319,141,1
1564,Record87569,M01,2021/11/9 12:40:44,52.3959,0.15458,3,4.3872,142,2
1831,Record87851,M01,2021/11/9 22:04:49,51.0055,0.065503,3,2.76453,143,3
1974,Record88172,M01,2021/11/10 8:47:01,52.3942,0.312234,3,4.6319,144,4
1995,Record88570,M01,2021/11/11 10:44:45,50.9307,0.248851,3,2.76453,145,5
1997,Record88573,M01,2021/11/11 10:50:43,55.603,0.125683,3,2.76453,146,6
2014,Record88592,M01,2021/11/11 11:28:46,55.4418,0.090957,3,4.6319,147,7
2079,Record88665,M01,2021/11/11 13:54:43,51.8789,0.369033,3,4.6319,148,8
2162,Record88758,M01,2021/11/11 17:00:43,51.175,0.316877,3,2.76453,149,9
2175,Record88772,M01,2021/11/11 17:28:44,50.4823,0.406449,3,4.39024,150,0
2176,Record88774,M01,2021/11/11 17:32:43,50.5688,0.292366,3,4.39024,151,1
2181,Record88779,M01,2021/11/11 17:42:43,51.3352,0.295535,3,3.9052,152,2
2182,Record88780,M01,2021/11/11 17:44:43,52.0133,0.522243,3,5.27134,153,3
