name,leq_mean,leq_var,leq_std,leq_max,leq_10,leq_25,leq_median,leq_75,leq_90,leq_10-leq_90,loudness_mean,loudness_var,loudness_std,loudness_max,loudness_10,loudness_25,loudness_median,loudness_75,loudness_90,loudness_10-loudness_90,roughness_mean,roughness_var,roughness_std,roughness_max,roughness_10,roughness_25,roughness_median,roughness_75,roughness_90,roughness_10-roughness_90,sharpness_mean,sharpness_var,sharpness_std,sharpness_max,sharpness_10,sharpness_25,sharpness_median,sharpness_75,sharpness_90,sharpness_10-sharpness_90,fluct_mean,fluct_var,fluct_std,fluct_max,fluct_10,fluct_25,fluct_median,fluct_75,fluct_90,fluct_10-fluct_90,tonality_mean,tonality_var,tonality_std,tonality_max,tonality_10,tonality_25,tonality_median,tonality_75,tonality_90,tonality_10-tonality_90
Record90156.xls,52.08734329,19.23618945,4.386103013,58.6223526,44.09744835,49.86354065,53.97723389,54.92729187,56.10728645,12.0098381,7.69903629,5.146325177,2.269359084,11.59399986,3.644999981,6.356999874,8.619999886,9.256999969,9.860500336,6.215500355,1.311959953,0.031297435,0.17691216,1.6302104,0.999154091,1.271026075,1.358941197,1.423473537,1.471771479,0.472617388,2.808314301,0.353620833,0.594872003,3.810600281,1.681717038,2.670385122,3.043905735,3.198207617,3.319572091,1.637855053,0.005391605,7.09E-05,0.008419937,0.058631729,0.001896941,0.002238801,0.002671918,0.003661955,0.011461297,0.009564356,0.059502238,0.002254406,0.047497488,0.231094092,0,0.013243048,0.058730498,0.091296338,0.123398617,0.123398617
Record90178.xls,59.92481149,33.04297696,5.748557614,73.36487579,52.17095566,55.3330307,59.75577164,64.68988037,67.39214706,15.22119141,9.664808539,12.91135439,3.594516729,22.07999992,5.638000011,6.602000237,8.701999664,12.40600014,14.79799986,9.159999847,1.611341283,0.165693632,0.407057933,2.76996541,1.124852955,1.283045113,1.52964884,1.937144578,2.18088448,1.056031525,1.307015685,0.034233436,0.18508868,2.713776588,1.125553787,1.190777302,1.285962224,1.375580549,1.477160156,0.351606369,0.015616002,0.000154343,0.012425312,0.085937433,0.006008836,0.007847326,0.011305969,0.019995003,0.029015633,0.023006798,0.094498943,0.003802715,0.061688118,0.282278419,0,0.050205227,0.091537446,0.13597244,0.176588751,0.176588751
Record90573.xls,50.06217109,6.583393006,2.565926402,58.57645798,47.00053596,48.05990982,49.86138535,51.64702225,53.73107147,6.730535507,5.358823485,0.627999622,0.792746438,10.29500008,4.429999828,4.818999767,5.267000198,5.804999828,6.388999939,1.959000111,1.201352731,0.013857531,0.117718915,1.852817059,1.090931475,1.140879631,1.19047147,1.250833511,1.310651302,0.219719827,1.564009666,0.029729357,0.172483424,2.282610416,1.341494918,1.447211742,1.561291575,1.665771723,1.772317946,0.430823028,0.008793591,7.53E-05,0.008677364,0.066222854,0.004159098,0.005296635,0.007088078,0.008741016,0.011949372,0.007790274,0.059296382,0.003718419,0.061000549,0.471286565,0,0,0.052669812,0.087423183,0.12936876,0.12936876
Record90575.xls,50.88190066,12.42492986,3.525058084,63.25461578,46.48893738,47.97949219,50.76619339,53.17269516,55.45308304,8.96414566,5.334860496,1.296465158,1.13902966,9.86400032,3.982499957,4.492000103,5.22300005,5.975999832,6.938500166,2.956000209,1.122460194,0.022693622,0.150645174,1.521332145,0.927713513,1.033620715,1.126460731,1.213454247,1.311268389,0.383554876,1.411246494,0.032603768,0.180629428,2.201503754,1.193250716,1.296951771,1.399452686,1.509535789,1.641171634,0.447920918,0.009611972,6.90E-05,0.00830739,0.065060146,0.004598661,0.005436241,0.00718533,0.010401252,0.015684207,0.011085546,0.05641234,0.002529552,0.050312564,0.272119492,0,0.010595731,0.049568608,0.086782165,0.123603195,0.123603195
Record90605.xls,51.79602718,38.12052177,6.174456322,64.85665894,44.87637329,45.92647552,50.23368835,57.82993317,60.51238632,15.63601303,5.339091823,3.080115238,1.755650607,12.01399994,3.461999893,3.848999977,4.784999847,6.675000191,7.94900012,4.487000227,1.050785197,0.045215342,0.212640617,2.645143747,0.863872766,0.909987599,1.010804355,1.130950153,1.269157112,0.405284345,1.382123035,0.085233989,0.292052558,2.61372447,1.038636267,1.143729687,1.366351128,1.538642406,1.806482613,0.767846346,0.01394234,0.00010279,0.010140005,0.06983868,0.00440773,0.007277481,0.012082824,0.017933302,0.022659376,0.018251646,0.308159447,0.055052587,0.234716421,0.801163495,0.042900512,0.092218347,0.23031649,0.546901405,0.635325342,0.59242483
Record90610.xls,50.75145407,12.58508973,3.547704695,61.00152588,46.29423141,48.39114761,50.88205719,53.18402481,55.09354973,8.799318314,5.042496083,1.099740348,1.049058454,8.942000389,3.757499933,4.291999817,4.959000111,5.68200016,6.357500076,2.600000143,1.059709502,0.037526365,0.193718707,1.72336936,0.856395572,0.924113721,1.026747704,1.179853261,1.321498334,0.465102762,1.621617009,0.080348074,0.283558286,2.892468214,1.299096584,1.40544343,1.568377018,1.782238483,2.005557537,0.706460953,0.021557395,0.000262358,0.016199831,0.074618697,0.006630442,0.010501899,0.015721006,0.027959834,0.047832293,0.041201851,0.153904135,0.006038022,0.077732375,0.413916737,0.043073745,0.099550381,0.157771334,0.207041532,0.25179635,0.208722604
Record90638.xls,50.33225293,20.54641646,4.533017001,65.85009766,45.84078979,46.95994568,48.78381348,52.77103424,57.45891762,11.61812782,5.50157224,3.120319771,1.767071651,13.84399986,3.850499988,4.215000153,4.964000225,6.166999817,8.035499573,4.184999585,1.214824981,0.039028596,0.197558072,1.858831525,0.990627646,1.065601408,1.181982458,1.342885375,1.479243338,0.488615692,1.797195898,0.104962418,0.324094396,3.174198389,1.478522599,1.563311219,1.716561198,1.932449818,2.223059177,0.744536579,0.019629895,0.000207439,0.014404834,0.065177821,0.006285219,0.008191502,0.014364104,0.025985559,0.043420795,0.037135577,0.062077466,0.003144662,0.056097256,0.369012952,0,0.01949431,0.05240304,0.091072656,0.133948408,0.133948408
Record90643.xls,50.26629869,1.213066923,1.101442132,56.51236343,49.06610107,49.62166595,50.16182327,50.71363449,51.38520813,2.319107056,5.503490389,0.450855726,0.671696991,11.98499966,4.803499937,5.063000202,5.401000023,5.803999901,6.288999796,1.485499859,1.240422567,0.02479058,0.157451448,2.871590614,1.123032033,1.163203657,1.217742622,1.282451153,1.362093091,0.239061058,1.664438292,0.045147758,0.212555674,3.687095404,1.459293365,1.520409584,1.625828028,1.756545901,1.895615995,0.436322629,0.007690634,6.29E-05,0.007934531,0.058353443,0.003698111,0.004393911,0.005287667,0.007238782,0.013424249,0.009726138,0.038903761,0.001460033,0.038223989,0.211947262,0,0,0.033208724,0.063874833,0.092124466,0.092124466
Record90648.xls,50.4765655,20.854101,4.566832057,73.51446533,45.93253136,46.96479797,49.07682419,53.09894943,57.20909691,11.27656555,5.472985058,3.77800146,1.944400253,37.81000137,3.939999938,4.328999996,4.955999851,6.052999973,7.781499863,3.841499925,1.229270334,0.131177898,0.362187658,3.783514738,0.974236488,1.038628817,1.135967255,1.281100452,1.564374447,0.590137959,1.79795891,0.071040516,0.266629171,4.478091717,1.542709947,1.628014326,1.753327131,1.892570734,2.083007932,0.540297985,0.020844592,0.000342561,0.018511091,0.125085831,0.006266765,0.008353563,0.0162789,0.026203156,0.040036436,0.033769671,0.083167265,0.007127485,0.084454494,0.502468407,0,0.024647299,0.062896498,0.113195628,0.189789385,0.189789385
Record90910.xls,51.34117549,15.76457977,3.970639912,65.07699585,46.39658356,47.74533081,51.1677475,54.27752686,56.4319706,10.03538704,5.37524413,1.391918036,1.180215841,11.0710001,4.064500093,4.413000107,5.210000038,6.065000057,6.851500034,2.786999941,1.158641478,0.021149286,0.145429052,1.824484587,1.006553471,1.060550213,1.14684397,1.23825115,1.336238861,0.32968539,1.384174382,0.034594236,0.186061484,2.557966709,1.152307928,1.242772222,1.378953934,1.515489578,1.616993964,0.464686036,0.008841029,0.000134845,0.011613966,0.085431747,0.002533017,0.003900976,0.00584589,0.008883752,0.014909857,0.01237684,0.082162218,0.00392365,0.062661347,0.367128104,0,0.035448302,0.07391309,0.120833546,0.168737218,0.168737218
