order,leq_mean,leq_var,leq_std,leq_max,leq_10,leq_25,leq_median,leq_75,leq_90,leq_10-leq_90,loudness_mean,loudness_var,loudness_std,loudness_max,loudness_10,loudness_25,loudness_median,loudness_75,loudness_90,loudness_10-loudness_90,roughness_mean,roughness_var,roughness_std,roughness_max,roughness_10,roughness_25,roughness_median,roughness_75,roughness_90,roughness_10-roughness_90,sharpness_mean,sharpness_var,sharpness_std,sharpness_max,sharpness_10,sharpness_25,sharpness_median,sharpness_75,sharpness_90,sharpness_10-sharpness_90,fluct_mean,fluct_var,fluct_std,fluct_max,fluct_10,fluct_25,fluct_median,fluct_75,fluct_90,fluct_10-fluct_90,tonality_mean,tonality_var,tonality_std,tonality_max,tonality_10,tonality_25,tonality_median,tonality_75,tonality_90,tonality_10-tonality_90,score
67,63.86628,6.04191,2.45852,72.16817,61.33092,61.9535,63.31702,64.84362,67.63304,6.30212,15.05073,5.82934,2.43023,25.7,12.565,13.339,14.607,15.693,18.46,5.895,1.92653,0.03261,0.18058,2.2199,1.79079,1.86884,1.94191,2.01734,2.07788,0.2871,2.267,0.04627,0.21651,3.06818,2.0184,2.10645,2.24199,2.39334,2.52914,0.51074,0.03499,0.00043,0.02072,0.09398,0.0161,0.02174,0.03046,0.04573,0.06997,0.05387,0.01933,0.00055,0.02363,0.14808,0,0,0.01314,0.03479,0.04367,0.04367,5.2541
68,63.822,8.63743,2.93954,69.46758,60.87348,61.24512,62.48186,67.13166,68.21318,7.33969,14.80906,7.02665,2.66817,20.95,12.16,12.698,13.22,17.74,18.48,6.32,2.02193,0.06013,0.24523,2.81307,1.82973,1.88593,1.95596,2.19123,2.30554,0.47581,2.08739,0.00792,0.08956,2.40013,1.99101,2.02596,2.07625,2.14368,2.18666,0.19566,0.01915,0.00078,0.02799,0.10264,0.00351,0.00426,0.00472,0.01839,0.07509,0.07158,0.0118,0.00048,0.02198,0.08109,0,0,0,0.01437,0.05283,0.05283,4.72541
69,64.51917,4.72514,2.17459,69.15117,62.48366,62.80837,64.66994,66.38197,67.17571,4.69205,15.96601,6.25781,2.51775,23.36,12.9775,14.5035,15.475,17.955,19.175,6.1975,1.99003,0.06006,0.24509,2.55031,1.69149,1.84646,1.98104,2.1168,2.33178,0.64029,2.35749,0.03453,0.18703,3.0027,2.11497,2.25854,2.36827,2.47174,2.55187,0.4369,0.0345,0.00101,0.03187,0.12496,0.00338,0.00682,0.03138,0.0439,0.09357,0.09019,0.05151,0.00079,0.02831,0.11974,0,0.03315,0.0538,0.07052,0.08057,0.08057,4.36885
70,60.64147,23.57937,4.85683,69.01442,54.48257,55.43336,61.04477,64.99817,67.10927,12.6267,12.19444,13.45064,3.6794,19.78,7.884,8.388,12.226,15.5775,16.905,9.021,1.68208,0.04358,0.20878,2.1236,1.48439,1.5363,1.64476,1.85064,1.95822,0.47383,2.21593,0.08133,0.2861,3.21732,1.90772,2.01622,2.14554,2.36781,2.60751,0.69979,0.02565,0.00059,0.02429,0.08054,0.00612,0.00754,0.01519,0.03621,0.0718,0.06567,0.09103,0.00312,0.05604,0.24081,0.02874,0.05387,0.08428,0.12299,0.16652,0.13777,4.18033
71,62.46211,5.05515,2.24882,67.92838,60.13494,60.6097,61.46383,64.31889,66.03899,5.90405,15.12658,5.73697,2.4109,21.99,12.484,13.19,14.239,17.12,18.455,5.971,2.23735,0.19089,0.43694,3.58859,1.86114,1.96888,2.08777,2.39079,2.89641,1.03527,2.61727,0.03123,0.17789,3.25534,2.42581,2.4956,2.57698,2.71559,2.87639,0.45058,0.02945,0.00079,0.02819,0.09914,0.00662,0.00787,0.0174,0.04572,0.07738,0.07076,0.01147,0.00039,0.01987,0.07314,0,0,0,0.02423,0.04444,0.04444,4.44672
72,63.29131,1.76585,1.32937,66.50471,61.88011,62.13277,62.92192,64.38285,65.33982,3.4597,16.94413,2.13164,1.46946,20.89,15.383,15.723,16.55,17.87,19.06,3.677,2.04898,0.0337,0.18358,2.35754,1.93281,1.97866,2.04237,2.13774,2.24248,0.30967,3.31781,0.01181,0.10937,3.58267,3.19186,3.23715,3.31021,3.39383,3.48306,0.2912,0.01684,0.00047,0.02179,0.07659,0.00308,0.00414,0.00612,0.01861,0.06183,0.05874,0.00779,0.00026,0.01617,0.07153,0,0,0,0,0.03318,0.03318,5.13525
73,64.3513,0.40277,0.63477,65.6073,63.47832,63.89374,64.46741,64.86369,65.06927,1.59095,16.71919,0.63006,0.79897,19.26,15.79,16.09,16.65,17.18,17.79,2,2.09315,0.03004,0.17334,2.37894,1.99766,2.05481,2.09901,2.16654,2.21717,0.21951,2.86498,0.01478,0.12236,3.26225,2.72817,2.7918,2.83174,2.91984,3.01706,0.28889,0.01974,0.00073,0.02706,0.10089,0.0036,0.00492,0.0065,0.01777,0.07359,0.07,0.01848,0.00043,0.02097,0.06912,0,0,0,0.03588,0.04598,0.04598,4.92213
74,63.86629,2.9137,1.7073,69.68827,62.06885,62.90081,63.68546,64.69112,65.55215,3.48331,15.82401,3.39653,1.85505,22.59,13.913,14.599,15.563,16.41,17.705,3.792,2.02657,0.04385,0.20943,2.38069,1.81246,1.93022,2.04835,2.14774,2.25083,0.43837,2.40538,0.04858,0.22185,2.86211,2.11359,2.2397,2.41569,2.5479,2.69529,0.5817,0.02507,0.0005,0.02233,0.09075,0.00886,0.01411,0.01599,0.02521,0.06736,0.0585,0.06342,0.002,0.045,0.17774,0,0.02874,0.05746,0.09418,0.11918,0.11918,3.77459
75,63.30193,2.72487,1.6512,66.06911,61.41896,61.9616,63.46792,64.76593,65.38047,3.96151,15.1456,3.34165,1.8323,18.9,12.979,13.8465,14.999,16.615,17.475,4.496,2.19256,0.03514,0.18745,2.45829,2.0546,2.12686,2.19762,2.29607,2.37597,0.32137,2.53111,0.02645,0.16301,2.88433,2.30728,2.41269,2.5223,2.65105,2.76551,0.45822,0.01825,0.00077,0.02785,0.0989,0.00249,0.003,0.00422,0.01656,0.07564,0.07315,0.02681,0.00089,0.02993,0.12585,0,0,0.01634,0.0501,0.06159,0.06159,7.20082
76,60.73736,9.12918,3.02226,65.53381,56.34965,57.96678,60.81985,63.49927,64.80824,8.45859,12.1482,6.43636,2.54246,17.09,8.6965,9.991,11.969,14.051,15.791,7.0945,1.88144,0.05441,0.23327,2.29343,1.5946,1.74003,1.92421,2.04492,2.14167,0.54707,2.12595,0.01686,0.13011,2.46506,1.96938,2.02856,2.10986,2.18601,2.32762,0.35825,0.017,0.00063,0.02502,0.08965,0.00292,0.00361,0.00401,0.01529,0.06851,0.0656,0.0269,0.00094,0.03067,0.14963,0,0,0.0166,0.04722,0.0692,0.0692,7.19672
77,64.18163,3.43353,1.8537,72.99595,61.91958,63.15204,64.05224,64.93289,66.1707,4.25112,15.04382,2.83522,1.69471,19.08,12.746,13.689,15.062,16.116,17.165,4.419,2.19554,0.099,0.31465,3.56851,1.87551,2.00125,2.21133,2.32172,2.47345,0.59794,2.24499,0.01795,0.13485,2.62076,2.09328,2.14739,2.2248,2.34137,2.40483,0.31155,0.02332,0.00048,0.0219,0.08762,0.0074,0.00977,0.01564,0.02153,0.06732,0.05992,0.00442,0.00021,0.0145,0.09484,0,0,0,0,0.0161,0.0161,5.15574
78,60.36956,34.7583,5.89792,70.6492,53.09814,54.92591,60.26981,65.77781,69.38424,16.2861,13.47881,27.80932,5.30759,24.28,7.5775,9.3405,12.1455,17.37,22.46,14.8825,1.93265,0.18986,0.43575,2.74177,1.46998,1.55903,1.86703,2.31706,2.5953,1.12532,2.43074,0.1196,0.34806,3.38246,2.096,2.16146,2.29368,2.60614,3.06136,0.96536,0.01809,0.00044,0.02111,0.07704,0.00436,0.00618,0.00777,0.02019,0.06139,0.05703,0.02821,0.00054,0.02333,0.09036,0,0,0.03064,0.04546,0.0567,0.0567,4.44672
79,63.60349,0.29652,0.54465,65.72655,62.96105,63.2411,63.52017,63.91679,64.28665,1.32561,14.84529,0.68851,0.83521,17.02,13.801,14.129,14.935,15.387,15.884,2.083,2.06608,0.03232,0.17977,2.43471,1.9558,2.00219,2.07517,2.14818,2.20155,0.24576,2.17046,0.01119,0.10647,2.40041,2.01828,2.07886,2.17381,2.25131,2.31157,0.2933,0.02524,0.00069,0.02635,0.10288,0.00662,0.01001,0.015,0.02036,0.07839,0.07177,0.06866,0.00095,0.03105,0.13907,0.02453,0.05248,0.07045,0.08739,0.10768,0.08315,3.62705
80,62.72917,18.50185,4.30253,73.09112,57.52362,59.32059,62.03001,65.98382,69.34705,11.82343,14.62678,20.78616,4.569,30.22,9.6355,11.172,13.534,16.78,22.05,12.4145,2.74957,0.56231,0.7499,4.96467,2.00595,2.16417,2.46156,3.32002,3.8329,1.82694,2.72663,0.1096,0.33177,3.99592,2.2918,2.46919,2.71893,2.91249,3.18042,0.88863,0.02308,0.00038,0.01962,0.07686,0.00859,0.01008,0.01594,0.02446,0.063,0.0544,0.02584,0.00073,0.02711,0.13064,0,0,0.02206,0.04169,0.0615,0.0615,7.57377
81,63.67776,9.3005,3.05028,68.90902,59.32541,60.83388,63.39218,66.66382,67.49533,8.16993,14.71222,5.18871,2.29281,20.05,11.699,13.097,14.333,16.53,17.83,6.131,2.10886,0.07908,0.28123,2.69161,1.82128,1.89146,2.14018,2.3011,2.40804,0.58676,2.35564,0.07958,0.28395,3.35719,2.11435,2.1808,2.27979,2.41891,2.76495,0.6506,0.02443,0.00072,0.02684,0.10151,0.00746,0.00919,0.01107,0.02718,0.0697,0.06224,0.03463,0.00076,0.02767,0.11166,0,0,0.03425,0.05437,0.07128,0.07128,4.37705
82,63.29483,4.8831,2.21022,68.93364,60.17035,61.4664,63.55796,64.93642,65.9798,5.80945,13.90514,4.31246,2.09026,22.84,11.54,12.446,13.839,14.877,16.185,4.645,2.02066,0.1498,0.38707,3.40958,1.71547,1.78059,1.89453,2.18428,2.55164,0.83616,2.11685,0.04919,0.22325,2.79965,1.86775,1.96519,2.07787,2.23006,2.3944,0.52665,0.02901,0.00054,0.02317,0.09485,0.00846,0.01481,0.02182,0.03174,0.07432,0.06586,0.07918,0.00333,0.05806,0.21595,0,0.03147,0.07278,0.12333,0.14858,0.14858,4.21311
83,63.90276,2.50417,1.58277,68.66532,62.12462,62.72562,63.50389,65.10709,66.28347,4.15885,16.14553,1.41538,1.1975,19.56,14.7275,15.208,16.03,17.05,17.705,2.9775,2.11045,0.03332,0.18255,2.39331,1.97623,2.05342,2.12664,2.19556,2.24955,0.27332,2.56731,0.01772,0.134,3.01884,2.42197,2.45898,2.55911,2.61946,2.73485,0.31288,0.02241,0.0007,0.02649,0.10218,0.00651,0.00794,0.00967,0.02265,0.0758,0.06929,0.02446,0.0007,0.02661,0.11094,0,0,0.02622,0.04394,0.05603,0.05603,5.40164
